SPBC16H5.08c,SPBC16H5.08c
FADS3,FADS3
CYB5RP,FADS3
LLCDL3,FADS3
sp1,Spn42Dd
GATC,GATC
15E1.2,GATC
T10B11.5,T10B11.5
gpd1,tdh1
Vha68-3,Vha68-3
CG5075,Vha68-3
DmelCG5075,Vha68-3
Vha68,Vha68-2
vha67-3,Vha68-3
SLC1A6,SLC1A6
EAAT4,Slc1a6
SPBPB10D8.05c,SPBPB10D8.05c
ARL6IP6,ARL6IP6
AIP-6,Arl6ip1
PFAAP1,ARL6IP6
LOC401068,LOC401068
wdn,wdn
CG1454,wdn
DmelCG1454,wdn
Sryc,wdn
pqp,wdn
sry h-l,wdn
sry-c,wdn
sry-h1,wdn
SPACUNK4.08,SPACUNK4.08
BIRC5,BIRC5
API4,BIRC5
EPR-1,ELF3
TNFAIP8L2,TNFAIP8L2
TIPE2,Tnfaip8l2
H36L18.2,H36L18.2
PVRL4,PVRL4
EDSS1,PVRL4
LNIR,PVRL4
PRR4,PRR4
nectin-4,PVRL4
AT3G16780,AT3G16780
tli-1,tli-1
CELE_F25H2.1,tli-1
MGT4,MGT4
MRS2-3,MGT4
magnesium transporter 4,MGT4
AT4G35785,AT4G35785
RIO2,RIOK2
protein kinase RIO2,RIO2
KRTAP5-9,KRTAP5-3
KRN1,KRTAP5-9
KRTAP5-1,KRTAP5-1
KRTAP5.9,KRTAP5-9
AT1G51980,AT1G51980
F5F19.4,AT1G51980
F5F19_4,AT1G51980
arg11,arg11
T06F4.1,T06F4.1
AT1G70770,AT1G70770
F5A18.5,AT1G70770
F5A18_5,AT1G70770
GCS1,MOGS
L000000693,GCS1
FOLH1,FOLH1
FGCP,FOLH1
FOLH,FOLH1
GCP2,GOLGA4
GCPII,FOLH1
NAALAD1,FOLH1
NAALAdase,FOLH1
PSM,FOLH1B
PSMA,FOLH1
mGCP,FOLH1
Ttpal,Ttpal
3110080A02Rik,Ttpal
5830472M02Rik,Ttpal
AGBL4,AGBL4
CCP6,AGBL4
rps902,rps902
rps9-2,rps902
rps9b,rps902
SPAP14E8.05c,SPAP14E8.05c
Fam92a,Fam92a
6720467C03Rik,Fam92a
Fam92a1,Fam92a
egd2,egd2
nac1,egd2
ucp15,egd2
nfkb2,nfkb2
nep-24,nep-24
CELE_Y116A8C.5,nep-24
Trim12a,Trim12a
2310043C01Rik,Trim12a
Trim12,Trim12a
RTT101,RTT101
CUL8,RTT101
CULC,RTT101
L000004737,RTT101
cullin RTT101,RTT101
NAT2,Slc38a1
L000001233,NAT2
KLHL40,KLHL40
KBTBD5,KLHL40
NEM8,KLHL40
SRYP,KLHL40
SYRP,KLHL40
PTCHD1,PTCHD1
Atpalpha,Atpalpha
ATP-alpha,Atpalpha
ATPBagr,Atpalpha
ATPa,Atpalpha
Atp a,Atpalpha
CG5670,Atpalpha
Da-47,Atpalpha
DmelCG5670,Atpalpha
JY,Atpalpha
K ATPase,Atpalpha
K-ATPase,nrv2
K[+] -ATPase,Atpalpha
K[+]-ATPase,Atpalpha
K[+]-ATPase alpha subunit,Atpalpha
K[+]-ATPase alpha-subunit,Atpalpha
Na,nrv2
Na+-K+-ATPase,Atpalpha
Na+/K+ ATPase alpha subunit,Atpalpha
Na-p,Atpalpha
Na/K-ATPase,Atpalpha
Na/K-ATPase alpha-subunit,Atpalpha
NaK,Atpalpha
NaK ATPase,nrv2
Na[+],Atpalpha
Na[+]-K[+]-ATPase alpha[[5]]-subunit,Atpalpha
Na[+]/K[+] ATPase,nrv2
Na[+]/K[+]-ATPase,nrv2
Na[+]/K[+]ATPase,nrv2
Na[+]K[+] ATPase,Atpalpha
Na[+]K[+]-ATPase,Atpalpha
Na[+]K[+]ATPase,Atpalpha
dnATPase,Atpalpha
"l(3)01164",Atpalpha
"l(3)01453",Atpalpha
"l(3)04492",Atpalpha
"l(3)j3B2",Atpalpha
"l(3)j3B7",Atpalpha
"l(3)j6A4",Atpalpha
"l(3)rM454",Atpalpha
"l(3)ry136",Atpalpha
sodium/potassium transporting ATPase alpha,Atpalpha
pgi,pgi
CG31974,CG31974
CG18501,CG31974
DmelCG31974,CG31974
SNU13,NHP2L1
RNA binding protein SNU13,SNU13
Snupn,Snupn
0610031A09Rik,Snupn
Rnut1,Snupn
Snupn1,Snupn
BLH2,BLH2
AP22.90,BLH2
AP22_90,BLH2
BEL1-like homeodomain 2,BLH2
SAW1,SAW1
SAWTOOTH 1,BLH2
tnaA,tnaA
SDH3,SDHC
CYB3,SDH3
L000001825,SDH3
YKL4,SDH3
succinate dehydrogenase cytochrome b subunit SDH3,SDH3
SORD,SORD
HEL-S-95n,SORD
SORD1,SORD
TNP1,TNP1
TP1,TNP1
AT3G13770,AT3G13770
MIR7843,MIR7843
hsa-mir-7843,MIR7843
F55D12.6,F55D12.6
CELE_F55D12.6,F55D12.6
CG10175,CG10175
DmelCG10175,CG10175
DCP1,Dcp-1
L000002960,DCP1
L000003045,DCP1
MRT2,CRBN
S000029311,DCP1
cids-1,cids-1
CELE_C02F5.4,cids-1
F22D3.2,F22D3.2
Cdt1,Cdt1
2610318F11Rik,Cdt1
AW545653,Cdt1
C76791,Cdt1
Ris2,Cdt1
ydhS,ydhS
Ets97D,Ets97D
CG6338,Ets97D
D-Elg,Ets97D
DELG,Ets97D
DmelCG6338,Ets97D
Elg,Ets97D
Ets,Ets96B
tne,Ets97D
tny,tny
rps-24,rps-24
CELE_T07A9.11,rps-24
CG11665,CG11665
DmelCG11665,CG11665
HIVEP2,HIVEP2
HIV-EP2,HIVEP2
MBP-2,HIVEP2
MIBP1,Hivep2
SHN2,SHN2
ZAS2,HIVEP2
ZNF40B,HIVEP2
CG5098,CG5098
DmelCG5098,CG5098
trp663,trp663
SPCC663.14c,trp663
MRN1,MRN1
PTR69,MRN1
LOC100360573,LOC100360573
DBX2,DBX2
CG14362,CG14362
DmelCG14362,CG14362
CLEC1A,CLEC1A
CLEC-1,CLEC1A
CLEC1,CLEC1A
DLEU2,DLEU1
1B4,DLEU2
BCMSUN,DLEU2
DLB2,DLEU2
LEU2,LEU2
LINC00022,DLEU2
MIR15AHG,DLEU2
NCRNA00022,DLEU2
RFP2OS,DLEU2
TRIM13OS,DLEU2
btn,btn
1261/13,btn
CG5264,btn
DmelCG5264,btn
btn/MEOX,btn
SNRPA,SNRPA
Mud1,SNRPA
U1-A,MUD1
U1A,MUD1
IFNA8,IFNA8
IFN-alphaB,IFNA8
CG17322,CG17322
"BEST:LD25345",CG17322
DmelCG17322,CG17322
LD25345,CG17322
AT4G10850,AT4G10850
F25I24.60,AT4G10850
F25I24_60,AT4G10850
TAS2R38,TAS2R38
PTC,RET
T2R38,TAS2R38
T2R61,TAS2R38
Acp62F,Acp62F
Acp62,Acp62F
CG1262,Acp62F
CT2528,Acp62F
DmelCG1262,Acp62F
LMO4,CSRP3
met-1,met-1
AT1G07795,AT1G07795
GKAP1,GKAP1
GKAP42,GKAP1
Setd1a,Setd1a
BC010250,Setd1a
KMT2F,SETD1A
Nsccn1,Setd1a
mKIAA0339,Setd1a
mNSC1,Setd1a
CG1792,CG1792
DmelCG1792,CG1792
SAPCD2,SAPCD2
C9orf140,SAPCD2
p42.3,SAPCD2
grl-17,grl-17
CELE_C56A3.1,grl-17
rplM,rplM
ECK3220,rplM
JW3200,rplM
RTN4,RTN4
ASY,Rtn4
NI220/250,RTN4
NOGO,Rtn4
NOGO-A,RTN4
NOGOC,RTN4
NSP,RTN1
NSP-CL,Rtn4
Nbla00271,RTN4
Nbla10545,RTN4
Nogo-B,Rtn4
Nogo-C,Rtn4
RTN-X,RTN4
RTN4-A,RTN4
RTN4-B1,RTN4
RTN4-B2,RTN4
RTN4-C,RTN4
TXLNA,TXLNA
IL14,TXLNA
TXLN,TXLNA
MAL13P1.323,MAL13P1.323
MRP21,MRP21
L000003275,MRP21
MRP50,MRP21
mitochondrial 37S ribosomal protein MRP21,MRP21
SEL1L3,SEL1L3
Sel-1L3,SEL1L3
Hccs,Hccs
CG17994,CG17994
DmelCG17994,CG17994
puf-8,puf-8
CELE_C30G12.7,puf-8
teg-2,puf-8
glh-4,glh-4
CELE_T12F5.3,glh-4
ZNF276,ZNF276
CENP-Z,ZNF276
CENPZ,ZNF276
ZADT,ZNF276
ZFP276,ZNF276
ZNF477,ZNF276
MTMR2,MTMR2
CMT4B,MTMR2
CMT4B1,MTMR2
CG5194,CG5194
DmelCG5194,CG5194
anon-WO0140519.239,CG5194
Pfas,Pfas
4432409B16Rik,Pfas
FGAMS,PFAS
FGAR-AT,PFAS
FGARAT,PFAS
Gm18,Pfas
PURL,PFAS
Sofa,Pfas
Ubr5,Ubr5
Dd5,Ubr5
Rat100,Ubr5
Ap1s1,Ap1s1
AP19,AP1S1
EDDM3B,EDDM3B
EP3B,EDDM3B
FAM12B,EDDM3B
HE3-BETA,EDDM3B
HE3B,EDDM3B
RAM2,RAM2
CG1890,CG1890
DmelCG1890,CG1890
PRSS37,PRSS37
TRYX2,PRSS37
yqeB,yqeB
ZK795.3,ZK795.3
CELE_ZK795.3,ZK795.3
GBP7,GBP7
GBP4L,GBP7
AT4G15120,AT4G15120
DL3605W,AT4G15120
FCAALL.67,AT4G15120
pka,pka
ECK2582,pka
JW2568,pka
pat,ptc
patZ,pka
yfiQ,yfiQ
GSG2,GSG2
HASPIN,GSG2
LEFTY1,LEFTY1
LEFTB,LEFTY1
LEFTYB,LEFTY1
Clcf1,Clcf1
Bsf3,Clcf1
CLC,CLC
CEBPD,CEBPD
C/EBP-delta,CEBPD
CELF,CEBPD
CRP3,CSRP3
NF-IL6-beta,CEBPD
Dusp22,Dusp22
JKAP,DUSP22
JSP1,DUSP22
LMW-DSP2,DUSP22
MKPX,DUSP7
ZC3H14,ZC3H14
MSUT-2,ZC3H14
NY-REN-37,ZC3H14
SUT2,SLC26A7
UKp68,ZC3H14
ZNF528,ZNF528
yebZ,yebZ
Os04g0650800,Os04g0650800
TTF1,NKX2-1
TTF-1,NKX2-1
TTF-I,Ttf1
TBRG1,TBRG1
NIAM,TBRG1
TB-5,TBRG1
rufy3,rufy3
mbp,mbp
ARPP21,ARPP21
ARPP-21,Arpp21
R3HDM3,ARPP21
RCS,ARPP21
TARPP,ARPP21
lips-9,lips-9
CELE_F58G1.5,lips-9
Arf6,Arf6
napB,napB
C27H2.2,C27H2.2
dtd1,dtd1
hars2,dtd1
h,h
8247,h
CG6494,h
DmelCG6494,h
HRY,HES1
Hairy,h
bHLHb39,Hes1
bHLHc14,"E(spl)m3-HLH"
brr,h
dDr1,NC2beta
"l(3)08247",h
"l(3)rM384",h
AT3G54030,AT3G54030
DEFB130,DEFB130
DEFB-30,DEFB130
DEFB130L,DEFB130
Sc5d,Sc5d
A830037K02,Sc5d
A830073K23Rik,Sc5d
Sc5dl,Sc5d
CAD1,CAD1
L000000206,CAD1
YAP2,CAD1
Tbx5,Tbx5
zfp-3,zfp-3
ZNF843,ZNF843
MAP7D3,MAP7D3
MDP3,PAN1
AT3G06450,AT3G06450
F24P17.6,AT3G06450
F24P17_6,AT3G06450
Bckdk,Bckdk
ssb,ssb-b
Psmc2,Psmc2
MSS1,MSS1
FLAD1,FLAD1
FAD1,FAD1
FADS,FLAD1
HEY1,HEY1
BHLHb31,HEY1
CHF2,DMA2
HERP2,HEY1
HESR1,HEY1
HRT-1,HEY1
OAF1,OAF1
hHRT1,HEY1
PF14_0323,PF14_0323
TUB8,TUB8
tubulin beta 8,TUB8
YGL039W,YGL039W
"carbonyl reductase (NADPH-dependent)",YDR541C
AT4G20790,AT4G20790
F21C20.140,AT4G20790
F21C20_140,AT4G20790
KAR4,KAR4
L000003481,KAR4
UGT1A9,UGT1A9
HLUGP4,UGT1A9
LUGP4,UGT1A9
UDPGT,UGT1A8
UDPGT 1-9,UGT1A9
UGT-1I,UGT1A9
UGT1-09,UGT1A9
UGT1-9,UGT1A9
UGT1.9,UGT1A9
UGT1AI,UGT1A9
UGT1I,UGT1A9
rps1602,rps1602
rps16,rps16
rps16-2,rps1602
TFPI,TFPI
EPI,TFPI
LACI,TFPI
TFI,TFF3
TFPI1,TFPI
AT1G63900,AT1G63900
AT1G63890,AT1G63900
T12P18.8,AT1G63900
T12P18_8,AT1G63900
FMP45,FMP45
CG3149,CG3149
"BcDNA:GH08388",CG3149
DmelCG3149,CG3149
MUC2,MUC2
MLP,Mlp84B
MUC-2,MUC2
SMUC,SNAI3
LOC443634,LOC443634
UBA4,MOCS3
YHR1,UBA4
ZNF738,ZNF738
Pla2g2a,Pla2g2a
EF,Ef1alpha48D
Mom1,Pla2g2a
Pla2,Pla2g2a
sPLA2,sPLA2
sPla2-IIA,Pla2g2a
TNRC6B,TNRC6B
WHI2,WHI2
L000002485,WHI2
CRACR2A,CRACR2A
EFCAB4B,CRACR2A
Srrm2,Srrm2
5033413A03Rik,Srrm2
AA410130,Srrm2
SRm300,SRRM2
mKIAA0324,Srrm2
Y73E7A.8,Y73E7A.8
bed-2,bed-2
CELE_Y47D3B.9,bed-2
AT2G25310,AT2G25310
T22F11.10,AT2G25310
T22F11_10,AT2G25310
CG14570,CG14570
DmelCG14570,CG14570
ARG3,ARG3
L000000108,ARG3
argF,argF
ornithine carbamoyltransferase,ARG3
rsd-6,rsd-6
CELE_F16D3.2,rsd-6
AT1G79990,AT1G79990
F19K16.4,AT1G79990
F19K16_4,AT1G79990
AN0554.2,AN0554.2
TCL6,TCL6
TNG1,TCL6
TNG2,TCL6
Y73F4A.2,Y73F4A.2
Echs1,CG6543
C80529,Echs1
nfu1,nfu1
SPBC1709.19c,nfu1
SPBC409.02c,nfu1
mRpL27,mRpL27
CG15442,RpL27A
CG33002,mRpL27
DmelCG33002,mRpL27
ytfB,ytfB
AT2G47850,AT2G47850
F17A22.24,AT2G47850
Y48G1BR.1,Y48G1BR.1
SNORD60,SNORD60
RNU60,SNORD60
U60,SNORD60
NAC069,NAC069
F11O4.5,NAC069
F11O4_5,NAC069
NAC domain containing protein 69,NAC069
anac069,NAC069
mug111,mug111
SAAL1,SAAL1
SPACIA1,Saal1
Ndufb8,Ndufb8
2900010I05Rik,Ndufb8
AI987932,Ndufb8
PRG4,LPPR2
CACP,Prg4
HAPO,PRG4
JCAP,Prg4
MSF,Prg4
SZP,Prg4
NDUFB4,NDUFB4
B15,NDUFB4
CI-B15,NDUFB4
DBP1,DHX15
L000000492,DBP1
LPH8,DBP1
putative DEAD-box ATP-dependent RNA helicase DBP1,DBP1
AT3G10760,AT3G10760
pyp1,pyp1
SPBC31F10.10c,SPBC31F10.10c
FOXA2,FOXA2
HNF3B,FOXA2
TCF3B,FOXA2
Flot1,Flot1
reggie-2,Flo1
CXCL16,CXCL16
CXCLG16,CXCL16
SR-PSOX,CXCL16
SRPSOX,CXCL16
CG13603,CG13603
DmelCG13603,CG13603
ZK370.8,ZK370.8
RNF103,RNF103
HKF-1,RNF103
KF-1,RNF103
KF1,RNF103
ZFP-103,RNF103
ZFP103,RNF103
Fga,Fga
ENSMUSG00000059807,Fga
Fib,Fib
XTH7,XTH7
T28I19.80,XTH7
T28I19_80,XTH7
xyloglucan endotransglucosylase/hydrolase 7,XTH7
flfl,flfl
CG9351,flfl
DmelCG9351,flfl
PP4R3,flfl
"l(3)L4179",flfl
RSL4,RSL4
T22C5.19,RSL4
T22C5_19,RSL4
root hair defective 6-like 4,RSL4
ZK1307.9,ZK1307.9
CELE_ZK1307.9,ZK1307.9
Spef2,Spef2
C230086A09Rik,Spef2
SPAC4G9.15,SPAC4G9.15
RNU4-1,RNU4-1
RNU4A,RNU4-1
RNU4B2,RNU4-1
U4,"snRNA:U4:39B"
U4BL,RNU4-1
hng2,hng2
CG8359,hng2
DmelCG8359,hng2
Lsp2,Lsp2
C23,Ncl
CG11538,Lsp2
CG6806,Lsp2
DmeLSP2,Lsp2
DmelCG6806,Lsp2
LHP,Lsp2
LSP 2,Lsp2
LSP-2,Lsp2
Pt-1,Lsp2
SLC5A8,SLC5A8
AIT,SLC5A8
SMCT,SLC5A8
SMCT1,SLC5A8
Tenm4,Tenm4
Doc4,TENM4
ELM2,HSL1
Odz4,Tenm4
R75022,Tenm4
Ten-m4,Tenm4
"l(7)-3Rn",Tenm4
l7Rn3,Tenm4
mKIAA1302,Tenm4
SPAPB17E12.11,SPAPB17E12.11
GOLGA6L9,GOLGA6L9
GOLGA6L20,GOLGA6L9
JAM3,JAM3
JAM-2,JAM3
JAM-3,JAM3
JAM-C,JAM3
JAMC,JAM3
STMN2,STMN2
SCG10,Stmn2
SCGN10,STMN2
Gtf2f1,Gtf2f1
2810405L04Rik,Gtf2f1
C76800,Gtf2f1
RAP74,TFG1
KRTAP2-3,KRTAP2-3
KAP2.3,KRTAP2-3
KRTAP2.3,KRTAP2-3
F09F9.4,F09F9.4
YPL077C,YPL077C
Med15,Med15
A230074L19Rik,Med15
AW536074,Med15
Pcqap,Med15
mPcqap,Med15
RNF122,RNF122
CAMK2N1,CAMK2N1
PRO1489,CAMK2N1
ybhP,ybhP
Kcnh7,Kcnh7
erg3,erg31
AT1G33430,AT1G33430
F10C21.10,AT1G33430
F10C21_10,AT1G33430
FSD1,FSD1
ARABIDOPSIS FE SUPEROXIDE DISMUTASE 1,FSD1
ATFSD1,FSD1
F24A6.1,FSD1
Fe superoxide dismutase 1,FSD1
APCDD1L,APCDD1L
Zfp513,Zfp513
AW990386,Zfp513
D430028M17Rik,Zfp513
Znf513,Zfp513
LRRC16A,LRRC16A
CARMIL,Lrrc16a
CARMIL1,LRRC16A
CARMIL1a,LRRC16A
LRRC16,LRRC16A
dJ501N12.1,LRRC16A
dJ501N12.5,LRRC16A
Lrfn4,Lrfn4
BC023156,Lrfn4
Salm3,Lrfn4
ura5,ura5
PF11_0252,PF11_0252
Gm6789,Gm6789
EG627792,Gm6789
ASMTL-AS1,ASMTL-AS1
ASMTL-AS,ASMTL-AS1
ASMTLAS,ASMTL-AS1
CXYorf2,ASMTL-AS1
NCRNA00105,ASMTL-AS1
Il17rc,Il17rc
1110025H02Rik,Il17rc
Gm19850,Il17rc
IL-17RC,Il17rc
IL17-RC,Il17rc
IL17-RL,IL17RC
Il17rl,Il17rc
Lig1,Lig1
AL033288,Lig1
LigI,Lig1
ZC3H8,ZC3H8
Fliz1,ZC3H8
ZC3HDC8,ZC3H8
Rpl23,Mrpl23
2810009A01Rik,Rpl23
PRKCE,PRKCE
PKCE,PRKCE
nPKC-epsilon,PRKCE
CG12162,CG12162
DmelCG12162,CG12162
Snx16,Snx16
CG6410,Snx16
DmelCG6410,Snx16
bzz1,bzz1
PRPF6,PRPF6
ANT-1,Prpf6
ANT1,PDR1
C20orf14,PRPF6
Prp6,CG6841
RP60,PRPF6
SNRNP102,PRPF6
TOM,PRPF6
U5-102K,Prpf6
hPrp6,PRPF6
MYADM,MYADM
SB135,MYADM
YBR012W-A,YBR012W-A
gag protein,YDR261W-A
ST4C,ST4C
ARABIDOPSIS THALIANA SULFOTRANSFERASE 4C,ST4C
ATST4C,ST4C
T6J4.24,ST4C
T6J4_24,ST4C
sulfotransferase 4C,ST4C
IMG2,IMG2
L000004446,IMG2
mitochondrial 54S ribosomal protein IMG2,IMG2
yagK,yagK
Tpc1,Tpc1
CG6608,Tpc1
DmTpc1,Tpc1
DmelCG6608,Tpc1
SPAC4F10.16c,SPAC4F10.16c
ydfR,ydfR
AT5G03850,AT5G03850
MED24.14,AT5G03850
SPAC212.12,SPAC212.12
SPNG7,SPAC212.12
ceh-39,ceh-39
CELE_T26C11.7,ceh-39
AT5G43560,AT5G43560
K9D7.6,AT5G43560
K9D7_6,AT5G43560
HSM3,HSM3
L000004729,HSM3
5PTASE2,5PTASE2
4,hop
"5)P3 5-PHOSPHATASE II",5PTASE2
AT5PTASE2,5PTASE2
INOSITOL POLYPHOSPHATE 5-PHOSPHATASE II,5PTASE2
"INOSITOL(1",5PTASE2
IP5PII,5PTASE2
T6K21.190,5PTASE2
T6K21_190,5PTASE2
myo-inositol polyphosphate 5-phosphatase 2,5PTASE2
mld,Mbp
CG13620,mld
CG31312,mld
CG33343,mld
CG34100,mld
CG9469,mim
DTS-3,mld
DmelCG34100,mld
"L(3)3[DTS]",mld
"l(3)DTS3",mld
yfdM,yfdM
Sh3glb2,Sh3glb2
SPAS-1,Sh3glb2
AT3G58630,AT3G58630
fzr1,mfr1
LYAR,LYAR
ZC2HC2,LYAR
ZLYAR,LYAR
AT1G62410,AT1G62410
F24O1.14,AT1G62410
F24O1_14,AT1G62410
Nop10,Nop10
1110036B12Rik,Nop10
NOP10P,Nop10
Nola3,Nop10
Ude,Ude
CG18410,Ude
DmelCG18410,Ude
METTL24,METTL24
C6orf186,METTL24
dJ71D21.2,METTL24
TIAM1,TIAM1
K4,Krt4
Kif1c,Kif1c
B430105J22Rik,Kif1c
D11Bwg1349e,Psmd3
Ltxs1,Kif1c
C1_02270C_A,C1_02270C_A
C1_02270C,C1_02270C_A
C1_02270C_B,C1_02270C_A
CA1144,C1_02270C_A
CAWG_01156,C1_02270C_A
CaO19.11168,C1_02270C_A
CaO19.3684,C1_02270C_A
CaO6.2495,C1_02270C_A
CaO6.3882,C1_02270C_A
Contig4-2750_0002,C1_02270C_A
IPF18542.1,C1_02270C_A
IPF19649.1,C1_02270C_A
IPF19650.1,C1_02270C_A
SPS19,SPS19
SPS19.5f,C1_02270C_A
orf19.11168,C1_02270C_A
orf19.3684,C1_02270C_A
orf6.2495,C1_02270C_A
orf6.3882,C1_02270C_A
YT521-B,YTHDC1
"BcDNA:GH01918",YT521-B
CG12076,YT521-B
DmelCG12076,YT521-B
dYT521-B,YT521-B
YJL160C,YJL160C
SUPT4H1,SUPT4H1
SPT4,SPT4
SPT4H,SUPT4H1
SUPT4H,SUPT4H1
sac12,sac12
SPAC3C7.01c,sac12
SPAC732.03c,sac12
Kat8,Kat8
2010203C02Rik,Kat8
5830450F21Rik,Kat8
D7Ertd629e,Kat8
MOF,KAT8
Myst1,Kat8
codA,codA
ECK0334,codA
JW0328,codA
AT1G33590,AT1G33590
T1E4.3,AT1G33590
T1E4_3,AT1G33590
toc-1,toc-1
TSC22D1,TSC22D1
Ptg-2,TSC22D1
TGFB1I4,TSC22D1
TSC22,TSC22D1
Emx1,Emx1
ATUBC2-1,ATUBC2-1
Arabidopsis thaliana ubiquitin-conjugating enzyme 15,ATUBC2-1
F27F5.13,ATUBC2-1
F27F5_13,ATUBC2-1
UBC15,UBC15
AT3G62790,AT3G62790
SPBC29B5.04c,SPBC29B5.04c
CG12007,CG12007
DmelCG12007,CG12007
PTAR3,RABGGTA
RabGGTalpha,CG12007
SPO21,SPO21
L000004853,SPO21
MPC70,SPO21
PFL1545c,PFL1545c
Rhod,Rhod
AI326383,Rhod
Arhd,Rhod
Rho,Bx
RhoHP1,Rhod
RhoM,Rhod
AT5G14970,AT5G14970
F2G14.90,AT5G14970
F2G14_90,AT5G14970
spb70,spb70
pol12,spb70
Faxc,Faxc
6230409E13Rik,Faxc
AW742931,Faxc
Tra2b,Tra2b
5730405G21Rik,Tra2b
D16Ertd266e,Tra2b
SIG-41,Tra2b
Sfrs10,Srsf2
Silg41,Tra2b
TRA2beta,Tra2b
Bop1,Bop1
AU020183,Bop1
AW146150,Bop1
D18861,Bop1
Erb1p,Bop1
